Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez","=""0937832383""","=""9780937832387""",3,3.82,Dante University of America Press,Paperback,140,2003,1532,,2013/03/20,,,read,,,,1,,,0,,,,,
16048279,Navigating the Interior Life: Spiritual Direction and the Journey to God,Daniel Burke,"Burke, Daniel",John Bartunek,"=""1937155862""","=""9781937155865""",5,4.32,Emmaus Road Publishing,Paperback,161,2012,2012,,2013/09/11,,,read,,,,1,,,0,,,,,
852007,Monologion and Proslogion with the Replies of Gaunilo and Anselm,Anselm of Canterbury,"Canterbury, Anselm of","Gaunilo, Thomas   Williams","=""0872202976""","=""9780872202979""",4,3.67,"Hackett Publishing Company, Inc.",Paperback,176,1996,1076,,2013/08/26,,,read,,,,1,,,0,,,,,
99690,No Man Is an Island,Thomas Merton,"Merton, Thomas",,"=""1590302532""","=""9781590302538""",5,4.09,Shambhala,Hardcover,272,2005,1955,,2013/08/24,,,read,,,,1,,,0,,,,,
7284642,Ender's Shadow: Command School ,Mike Carey,"Carey, Mike","Sebastian Fiumara, Giulia Brusco","=""0785135987""","=""9780785135982""",4,4.43,Marvel,Hardcover,128,2010,2010,,2013/08/17,,,read,,,,1,,,0,,,,,
659469,The Hobbit: Graphic Novel,Chuck Dixon,"Dixon, Chuck","J.R.R. Tolkien, David Wenzel, Sean Deming","=""0345368584""","=""9780345368584""",5,4.49,Ballantine Books,Paperback,133,1990,1989,,2013/08/17,,,read,,,,1,,,0,,,,,
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,"=""1591841666""","=""9781591841661""",0,3.84,Portfolio,Hardcover,80,2007,2007,,2013/07/24,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
261203,How to Use Your Eyes,James Elkins,"Elkins, James",,"=""0415922542""","=""9780415922548""",0,3.81,Routledge,Hardcover,272,2000,2000,,2013/07/24,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
463650,Leonardo Da Vinci: A Life,Sherwin B. Nuland,"Nuland, Sherwin B.",,"=""014303510X""","=""9780143035107""",0,3.49,Penguin Books,Paperback,176,2005,2000,,2013/07/24,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
4722934,The Life You Can Save: Acting Now to End World Poverty,Peter Singer,"Singer, Peter",,"=""1400067103""","=""9781400067107""",4,4.14,Random House (NY),Hardcover,206,2009,2009,,2013/06/17,,,read,,,,1,,,0,,,,,
16172024,The Case For Mars,Robert Zubrin,"Zubrin, Robert",,"=""1471109887""","=""9781471109881""",5,4.11,Simon & Schuster UK,ebook,418,2012,1996,,2013/03/20,,,read,,,,1,,,0,,,,,
180463,Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,"Institute, The Arbinger",,"=""1576751740""","=""9781576751749""",4,4.14,Berrett-Koehler Publishers,Paperback,180,2002,2000,,2013/06/09,,,read,,,,1,,,0,,,,,
2491718,Seeking a Center: My Life as a Great Bookie,Otto Bird,"Bird, Otto",,"=""0898703700""","=""9780898703702""",4,4.09,Ignatius Press,Paperback,145,1992,1991,,2013/06/09,,,read,,,,1,,,0,,,,,
6732019,Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""0307463745""","=""9780307463746""",0,3.95,Crown Business,Hardcover,279,2010,2010,,2013/06/09,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
5054736,"The Great Ideas: A Syntopicon of Great Books of the Western World, Volume I",Mortimer J. Adler,"Adler, Mortimer J.",William Gorman,"=""""","=""""",0,4.41,Encyclopædia Britannica Inc.,Hardcover,1082,1952,1952,,2013/06/09,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
12077592,Making All Things New: An Invitation to the Spiritual Life,Henri J.M. Nouwen,"Nouwen, Henri J.M.",,"=""0061869791""","=""9780061869792""",3,4.27,HarperOne,ebook,96,2009,1981,,2013/03/20,,,read,,,,1,,,0,,,,,
11396865,Beowulf: The Oldest English Epic,Unknown,"Unknown, Unknown",Charles W. Kennedy,"=""0756989523""","=""9780756989521""",3,3.45,Perfection Learning,Hardcover,121,2010,900,,2013/03/20,,,read,,,,1,,,0,,,,,
40958,"The Art of Innovation: Lessons in Creativity from IDEO, America's Leading Design Firm",Tom Kelley,"Kelley, Tom","Jonathan Littman, Tom Peters","=""0385499841""","=""9780385499842""",3,3.98,Broadway Business,Hardcover,320,2001,2001,,2013/05/17,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Ivan Minatti, Nguyễn Thành Vũ","=""""","=""""",5,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,,2013/05/17,,,read,,,,1,,,0,,,,,
5040579,"Why We Make Mistakes: How We Look Without Seeing, Forget Things in Seconds, and Are All Pretty Sure We Are Way Above Average",Joseph T. Hallinan,"Hallinan, Joseph T.",,"=""0767928059""","=""9780767928052""",2,3.91,Broadway,Hardcover,221,2009,2009,,2013/05/17,,,read,,,,1,,,0,,,,,
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,"=""0684823780""","=""9780684823782""",5,4.32,Touchstone Books,Paperback,191,1996,1952,,2013/03/20,,,read,,,,1,,,0,,,,,
4485966,Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,Geoff Colvin,"Colvin, Geoff",,"=""1591842247""","=""9781591842248""",3,3.97,Portfolio,Hardcover,240,2008,2008,,2013/03/20,,,read,,,,1,,,0,,,,,
